REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,Short Tons Waste,Biogenic CO2 Emissions (Metric Tons)
2011,ESSEX COUNTY RESOURCE RECOVERY FACILITY,1004216,183 RAYMOND BLVD,40.7381,-74.1266,NEWARK,ESSEX,NJ,7105,COVANTA HOLDINGS CORP (100%),"394,190",C,"912,428.21","616,553.80"
2011,SEMASS PARTNERSHIP RESOURCE RECOVERY FACILITY,1005710,141 CRANBERRY HIGHWAY ROUTE 28,41.8023,-70.7875,ROCHESTER,PLYMOUTH,MA,2770,COVANTA HOLDINGS CORP (90%); ArkMass (10%),"361,557",C,"737,973.35","589,876.00"
2011,OGDEN MARTIN SYS OF FAIRFAX,1006177,9898 FURNACE ROAD,38.6954,-77.2407,LORTON,FAIRFAX,VA,22079,COVANTA HOLDINGS CORP (100%),"330,910",C,"1,088,889.39","601,126.40"
2011,Delaware Valley Resource Recovery Facility,1006038,10 HIGHLAND AVENUE,39.8275,-75.38728,CHESTER,DELAWARE COUNTY,PA,19013,Covanta Holding Corporation (100%),"326,809",C,"891,714.53","478,821.40"
2011,COVANTA HEMPSTEAD,1002398,600 MERCHANTS CONCOURSE,40.738356,-73.593495,WESTBURY,NASSAU,NY,11590,COVANTA HOLDINGS CORP (100%),"305,005",C,"934,583.63","598,715.00"
2011,"WHEELABRATOR SOUTH BROWARD, INC - RESOURCE RECOVERY FACILITY",1004531,4400 SOUTH STATE ROAD 7,26.068889,-80.203611,FT. LAUDERDALE,BROWARD,FL,33314,WASTE MANAGEMENT INC (100%),"272,744",C,"737,384.84","459,454.00"
2011,WHEELABRATOR NORTH BROWARD,1004185,2600 NW 48TH ST,26.287222,-80.159722,POMPANO BEACH,BROWARD,FL,33073,WASTE MANAGEMENT INC (100%),"269,101",C,"724,964.11","463,148.00"
2011,COVANTA ENERGY,1000293,2320 S HARDING ST,39.7337,-86.1888,INDIANAPOLIS,MARION,IN,46221,COVANTA HOLDING CORP (100%),"266,424",C,"848,973.29","371,717.70"
2011,DADE COUNTY RESOURCES RECOVERY,1009077,6990 NW 97 AVENUE,25.835883,-80.356201,MIAMI,MIAMI-DADE COUNTY,FL,33178,Miami-Dade County Department of Solid Waste Management (100%),"261,761",C,"785,501.17","465,352.40"
2011,WHEELABRATOR BALTIMORE LP,1004094,1801 OLD ANNAPOLIS ROAD,39.26994,-76.63041,BALTIMORE,BALTIMORE CITY,MD,21230,WASTE MANAGEMENT INC (100%),"251,878",C,"774,587.22","419,798.00"
2011,Wheelabrator Bridgeport L.P.,1004283,6 HOWARD AVE,41.162404,-73.208494,BRIDGEPORT,FAIRFIELD,CT,6605,WASTE MANAGEMENT INC (100%),"251,653",C,"789,774.77","419,421.00"
2011,Mid-Connecticut Resources Recovery Facility,1002765,,41.7494,-72.6536,Hartford,HARTFORD,CT,6114,Connecticut Resources Recovery Authority (100%),"248,068",C,"667,989.50","388,004.10"
2011,WHEELABRATOR WESTCHESTER LP,1004244,1 CHARLES PT AVE,41.277115,-73.942428,PEEKSKILL,WESTCHESTER,NY,10566,WASTE MANAGEMENT INC (100%),"220,930",C,"735,089.14","380,240.00"
2011,Detroit Renewable Power LLC,1004125,5700 Russell,42.368645,-83.051749,Detroit,WAYNE,MI,48211,"Detroit Renewable Resources LLC (75%); THERMAL VENTURES II, LP (25%)","214,866",C,"576,896.39","327,994.20"
2011,MONTGOMERY COUNTY RESOURCE RECOVERY FACILITY,1000623,21204 MARTINSBURG ROAD,39.200734,-77.456357,DICKERSON,MONTGOMERY,MD,20842,NORTHEAST MARYLAND WASTE DISPOSAL AUTHORITY (100%),"199,894",C,"545,416.07","340,360.00"
2011,UNION COUNTY RESOURCE RECOVERY FACILITY,1002269,1499 US RT 1 & 9 NORTH,40.6008,-74.2664,RAHWAY,UNION,NJ,7065,COVANTA HOLDINGS CORP (100%),"197,334",C,"538,475.86","298,858.00"
2011,HILLSBOROUGH COUNTY RESOURCE RECOVERY FACILITY,1005920,350 NORTH FALKENBURG ROAD,27.954444,-82.341111,TAMPA,HILLSBOROUGH,FL,33619,Hillsborough County Public Utilities Department (100%),"192,528",C,"576,219.64","299,517.80"
2011,LEE COUNTY SOLID WASTE RESOURCE RECOVERY FACILITY,1002268,10500 BUCKINGHAM ROAD,26.631667,-81.761389,FORT MYERS,LEE,FL,33905,Lee County Public Utilities Department (100%),"190,098",C,"535,773.36","323,681.00"
2011,COVANTA HONOLULU RESOURCE RECOVERY VENTURE (H-POWER),1007914,91-174 HANUA ST,21.3042,-158.1078,KAPOLEI,HONOLULU,HI,96707,COVANTA HOLDINGS CORP (100%),"190,061",C,"511,411.22","325,108.20"
2011,WHEELABRATOR MILLBURY INC,1006267,331 SOUTHWEST CUTOFF,42.2207,-71.7673,MILLBURY,WORCESTER,MA,1527,WASTE MANAGEMENT INC (100%),"190,045",C,"526,097.75","285,068.00"
2011,COVANTA HAVERHILL INC,1005179,100 RECOVERY WAY,42.7654,-71.124025,HAVERHILL,ESSEX,MA,1835,COVANTA HOLDINGS CORP (100%),"182,915",C,"627,013.04","293,255.30"
2011,WHEELABRATOR NORTH ANDOVER INC.,1004101,285 HOLT ROAD,42.726075,-71.122203,NORTH ANDOVER,ESSEX,MA,1845,WASTE MANAGEMENT INC (100%),"178,858",C,"457,480.86","279,750.00"
