"year","msw","discarded","incinerated"
1990,293613000,0.885,0.13
1991,280675000,0.86,0.116
1992,291472000,0.83,0.133
1993,306866000,0.81,0.123
1994,322879000,0.77,0.13
1995,326709000,0.73,0.137
1996,327460000,0.72,0.139
1997,340466000,0.7,0.129
1998,374631000,0.685,0.109
1999,382594000,0.67,0.104
2000,409029000,0.68,0.103
2001,389205206,0.707,0.104
2002,369381411,0.733,0.105
2003,378618436,0.724,0.104
2004,387855461,0.715,0.103
2005,400435097,0.715,0.1
2006,413014732,0.714,0.097
2007,401251379,0.737,0.092
2008,389488026,0.76,0.088
2009,389311814,0.765,0.084
2010,389135602,0.769,0.08
2011,388959390,0.774,0.076
2012,388959390,0.774,0.076
2013,388959390,0.774,0.076
2014,388959390,0.774,0.076
2015,388959390,0.774,0.076
2016,388959390,0.774,0.076
2017,388959390,0.774,0.076
2018,388959390,0.774,0.076
2019,388959390,0.774,0.076
2020,388959390,0.774,0.076
2021,388959390,0.774,0.076
2022,388959390,0.774,0.076
